"","activity"
"1","STANDING"
"2","STANDING"
"3","STANDING"
"4","STANDING"
"5","STANDING"
"6","STANDING"
"7","STANDING"
"8","STANDING"
"9","STANDING"
"10","STANDING"
"11","STANDING"
"12","STANDING"
"13","STANDING"
"14","STANDING"
"15","STANDING"
"16","STANDING"
"17","STANDING"
"18","STANDING"
"19","STANDING"
"20","STANDING"
"21","STANDING"
"22","STANDING"
"23","STANDING"
"24","STANDING"
"25","STANDING"
"26","STANDING"
"27","STANDING"
"28","STANDING"
"29","STANDING"
"30","STANDING"
"31","STANDING"
"32","SITTING"
"33","SITTING"
"34","SITTING"
"35","SITTING"
"36","SITTING"
"37","SITTING"
"38","SITTING"
"39","SITTING"
"40","SITTING"
"41","SITTING"
"42","SITTING"
"43","SITTING"
"44","SITTING"
"45","SITTING"
"46","SITTING"
"47","SITTING"
"48","SITTING"
"49","SITTING"
"50","SITTING"
"51","SITTING"
"52","SITTING"
"53","SITTING"
"54","SITTING"
"55","SITTING"
"56","LAYING"
"57","LAYING"
"58","LAYING"
"59","LAYING"
"60","LAYING"
"61","LAYING"
"62","LAYING"
"63","LAYING"
"64","LAYING"
"65","LAYING"
"66","LAYING"
"67","LAYING"
"68","LAYING"
"69","LAYING"
"70","LAYING"
"71","LAYING"
"72","LAYING"
"73","LAYING"
"74","LAYING"
"75","LAYING"
"76","LAYING"
"77","LAYING"
"78","LAYING"
"79","LAYING"
"80","WALKING"
"81","WALKING"
"82","WALKING"
"83","WALKING"
"84","WALKING"
"85","WALKING"
"86","WALKING"
"87","WALKING"
"88","WALKING"
"89","WALKING"
"90","WALKING"
"91","WALKING"
"92","WALKING"
"93","WALKING"
"94","WALKING"
"95","WALKING"
"96","WALKING"
"97","WALKING"
"98","WALKING"
"99","WALKING"
"100","WALKING"
"101","WALKING"
"102","WALKING"
"103","WALKING"
"104","WALKING"
"105","WALKING"
"106","WALKING"
"107","WALKING"
"108","WALKING"
"109","WALKING"
"110","WALKING_DOWNSTAIRS"
"111","WALKING_DOWNSTAIRS"
"112","WALKING_DOWNSTAIRS"
"113","WALKING_DOWNSTAIRS"
"114","WALKING_DOWNSTAIRS"
"115","WALKING_DOWNSTAIRS"
"116","WALKING_DOWNSTAIRS"
"117","WALKING_DOWNSTAIRS"
"118","WALKING_DOWNSTAIRS"
"119","WALKING_DOWNSTAIRS"
"120","WALKING_DOWNSTAIRS"
"121","WALKING_DOWNSTAIRS"
"122","WALKING_DOWNSTAIRS"
"123","WALKING_DOWNSTAIRS"
"124","WALKING_DOWNSTAIRS"
"125","WALKING_DOWNSTAIRS"
"126","WALKING_DOWNSTAIRS"
"127","WALKING_DOWNSTAIRS"
"128","WALKING_DOWNSTAIRS"
"129","WALKING_DOWNSTAIRS"
"130","WALKING_DOWNSTAIRS"
"131","WALKING_DOWNSTAIRS"
"132","WALKING_DOWNSTAIRS"
"133","WALKING_DOWNSTAIRS"
"134","WALKING_UPSTAIRS"
"135","WALKING_UPSTAIRS"
"136","WALKING_UPSTAIRS"
"137","WALKING_UPSTAIRS"
"138","WALKING_UPSTAIRS"
"139","WALKING_UPSTAIRS"
"140","WALKING_UPSTAIRS"
"141","WALKING_UPSTAIRS"
"142","WALKING_UPSTAIRS"
"143","WALKING_UPSTAIRS"
"144","WALKING_UPSTAIRS"
"145","WALKING_UPSTAIRS"
"146","WALKING_UPSTAIRS"
"147","WALKING_UPSTAIRS"
"148","WALKING_UPSTAIRS"
"149","WALKING_UPSTAIRS"
"150","WALKING_UPSTAIRS"
"151","WALKING_UPSTAIRS"
"152","WALKING_UPSTAIRS"
"153","WALKING_UPSTAIRS"
"154","WALKING_UPSTAIRS"
"155","WALKING_UPSTAIRS"
"156","WALKING_UPSTAIRS"
"157","WALKING_UPSTAIRS"
"158","WALKING_UPSTAIRS"
"159","STANDING"
"160","STANDING"
"161","STANDING"
"162","STANDING"
"163","STANDING"
"164","STANDING"
"165","STANDING"
"166","STANDING"
"167","STANDING"
"168","STANDING"
"169","STANDING"
"170","STANDING"
"171","STANDING"
"172","STANDING"
"173","STANDING"
"174","STANDING"
"175","STANDING"
"176","STANDING"
"177","STANDING"
"178","STANDING"
"179","STANDING"
"180","STANDING"
"181","STANDING"
"182","SITTING"
"183","SITTING"
"184","SITTING"
"185","SITTING"
"186","SITTING"
"187","SITTING"
"188","SITTING"
"189","SITTING"
"190","SITTING"
"191","SITTING"
"192","SITTING"
"193","SITTING"
"194","SITTING"
"195","SITTING"
"196","SITTING"
"197","SITTING"
"198","SITTING"
"199","SITTING"
"200","SITTING"
"201","SITTING"
"202","SITTING"
"203","SITTING"
"204","LAYING"
"205","LAYING"
"206","LAYING"
"207","LAYING"
"208","LAYING"
"209","LAYING"
"210","LAYING"
"211","LAYING"
"212","LAYING"
"213","LAYING"
"214","LAYING"
"215","LAYING"
"216","LAYING"
"217","LAYING"
"218","LAYING"
"219","LAYING"
"220","LAYING"
"221","LAYING"
"222","LAYING"
"223","LAYING"
"224","LAYING"
"225","LAYING"
"226","LAYING"
"227","LAYING"
"228","WALKING"
"229","WALKING"
"230","WALKING"
"231","WALKING"
"232","WALKING"
"233","WALKING"
"234","WALKING"
"235","WALKING"
"236","WALKING"
"237","WALKING"
"238","WALKING"
"239","WALKING"
"240","WALKING"
"241","WALKING"
"242","WALKING"
"243","WALKING"
"244","WALKING"
"245","WALKING"
"246","WALKING"
"247","WALKING"
"248","WALKING"
"249","WALKING"
"250","WALKING"
"251","WALKING"
"252","WALKING"
"253","WALKING"
"254","WALKING"
"255","WALKING"
"256","WALKING"
"257","WALKING_DOWNSTAIRS"
"258","WALKING_DOWNSTAIRS"
